"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"ui_bubble_rating bubble_50","Pranzo di Natale","Con la mia famiglia abbiamo trascorso il nostro pranzo di Natale in questo ristorante.... Ottima scelta!Consigliatissimi Gnocchi ai 4 formaggi...Torneremo sicuramente "
"ui_bubble_rating bubble_50","Ottima carne","Ottima trattoria e posto tranquillo per poter passare anche le feste natalizie in compagnia! Voto 10 per i ravioli gratinati al gongorzola che bonta!! Alla prossima!!"
"ui_bubble_rating bubble_50","Posto di qualità","Ci sono stata due giorni fa con la mia famiglia ci siamo trovati benissimo sopratutto ho fatto un ottima scelta scegliendo la bistecca fiorentina "
"ui_bubble_rating bubble_50","Un posto esilarante","Non c’è da discutere sulla qualità del posto in quanto presenza pulizia, armonia, ottima accoglienza ed educazione da parte dello staff. Ottimo per cene o pranzo e per qualsiasi eventi in quanto è un posto neutrale. Qualità e pulizia sono le parole chiave per questo ristorante esilarante !"
"ui_bubble_rating bubble_50","Firenze non delude mai","Un ristorante appena aperto in grado di soddisfare le richieste dei clienti a Firenze è raro e penso che questo locale sia uno dei migliori in questo ambito. Oltre l’eccellenza del posto e del cibo è proprio in grado di stabilire un rapporto soddisfacente con il cliente sodisfando Le sue richieste. Un ottimo posto dove poter godersi un momento rilassante e piacevole accompagnato da una buona presenza dello staff e dalla bravura dei cuochi"
"ui_bubble_rating bubble_50","Visitare e meravigliarsi del risultato","Firenze é piena di posti dove poter mangiare bene ma spesso il rapporto qualità prezzo non coincide o meglio non é equilibrato... qui invece ho notato che tutto coincide e questo comunque aiuta ad aumentare la clientela... I ragazzi che lavorano sono veramente gentili e di una dolcezza unica..penso di aver passato un'ottima cena ora mi manca provare il pranzo ma sono sicuro del risultato."
"ui_bubble_rating bubble_50","Eccezionale come posto","Nel mese di agosto circa ho fatto un viaggio a Firenze con alcuni miei amici e abbiamo chiesto ad alcuni passanti un posto dove mangiare bene e sano e ci hanno consigliato questo ristorante.. Che dire il rapporto qualità prezzo é ottimo ed equilibrato e ció rende il ristorante un ottimo posto dove poter mangiare."
"ui_bubble_rating bubble_50","Che dire...top","Ho portato la mia ragazza in questo ristorante dato che aveva il desiderio di entrarci e assaporare uno dei loro panini.. siamo rimasti contentissimi della qualità e della loro gentilezza..uno dei posti da provare a firenze."
"ui_bubble_rating bubble_50","Mai stato trattato meglio ","Sulla qualità del cibo non mi dilungo, tagliere buonissimo e genuino; una garanzia, visti i numerosi ristoranti Dall'Oste presenti a Firenze.Mi soffermo suo meraviglioso trattamento ricevuto: personale gentilissimo, prima di iniziare ci è stato offerto un aperitivo di palline fritte (non ricordo il nome) buonissime e a fine cena ci è stato offerto rum e cioccolato. Al momento di pagare, mi viene addirittura fornito un 20 per cento di sconto per la prossima volta e un piccolo panettone come sorpresa finale.Che dire, questo vuol dire sapere come trattare un cliente! Simpatia, gentilezza, educazione e qualità. Se fossi di Firenze, ci mangerei una volta a settimana."
"ui_bubble_rating bubble_50","Un mega ristorante","Per chi ama la carne ( quella buona ovviamente ) non c’è scelta se non andare in questo ristorante che sia pranzo o cena, indifferente, la qualità del cibo non cambia e non ha prezzo! A Firenze ne ho provati di posti e di ristoranti ma sono sempre rimasto un po’ incerto se potessero piacermi o meno.. qui non ho dubbi anzi ho la certezza che sia davvero un posto eccezionale. Da quel giorno vado spesso perché mi sono trovato davvero bene e porto con me sempre persone nuove per renderle felici !"
"ui_bubble_rating bubble_50","Ristorante top!","Un ristorante che tutti dovrebbero provare per la sua qualità. Partendo dalla pulizia della struttura, dal rapporto qualità prezzo, dalla bravura dei cuochi, dalla gentilezza dello staff, tutto risulta ottimo. Per chi ama la carbonara consiglio di assaggiare SPAGHETTI ALLA CARBONARA CON PANCETTA TOSCANA... cosa c’è da dire WOW!! Non c’è da parlare ma da provare...fidatevi"
"ui_bubble_rating bubble_50","Stupendo","Uno dei ristoranti di Firenze che mi ha colpito di più,per qualità dei piatti e del servizio in sala,quindi un posto stupendo dove godersi a pieno cene con amici e colleghi."
"ui_bubble_rating bubble_50","Posto Grandioso","Mio marito ha deciso di portarmi in questo ristorante a Firenze dato che che per me era la prima volta qui...che dire? Ciò che più colpisce è il rapporto qualità prezzo che è ottimo e vero.. per non parlare della qualità della carne che è eccezionale..mio marito mi ha resa felice quel giorno perche se mangio bene io sto bene!! Ottimo ristorante a Firenze e provatelo ve lo consiglio."
"ui_bubble_rating bubble_50","Eccellente","Uno dei migliori ristoranti dove mangiare a Firenze,con amici o parenti e la bistecca fiorentina tenera come il burro di alta qualitá,condita ad una coreografia del piatto sublime!! ECCELLENTE!"
"ui_bubble_rating bubble_50","Ci ritornerei volentieri..","Quando capita di voler fare una cena di lavoro fra colleghi penso che questo sia un posto perfetto a Firenze dove poter godersi un momento piacevole accompagnato dalla prelibatezza dei pasti!! Penso che il cibo sia di un’ottima qualità.. provate il CROSTONE TOSCANO e poi mi direte quanto è buono ! Sono rimasta soddisfatta di questa esperienza, alla prossima cena !!"
"ui_bubble_rating bubble_50","Stupendo","Ho festeggiato qui il mio compleanno,locale molto accogliente,staff cortese,altamente consigliabile per una cena in famiglia o con amici."
"ui_bubble_rating bubble_50","Di QUALITÀ","Ci sono stato ieri sera solo. Ottima accoglienza sopratutto la mia recensione va alla bistecca alla fiorentina..cottura ottima qualità altrettanto lo consiglio a tutti"
"ui_bubble_rating bubble_50","Fantastico","Ormai é diventata una tappa fissa per me e i miei amici,il mio piatto preferito ogni volta che ci vado é Ravioli gratinati al gorgonzola, ristorante straordinario."
"ui_bubble_rating bubble_50","Una vera bontà!","Sono stata a cena con amiche. Avevamo voglia di un buon panino con hamburger (di quello Buono! ).. e la Trattoria dell' Oste ci ha davvero accontentate. Tutto delizioso: la location curata in ogni dettaglio;il servizio veloce; il personale gentile e attento; e in ultimo il nostro super Panino, il cui hamburger (carne Chianina) è stato cotto soddisfacendo la mia richiesta. Visto che anche gli occhi vogliono la loro parte devo dire sfizioso anche l'impiattamento! Il tutto accompagnato da una buona birra. Per il dolce abbiamo optato per il cheesecake al cioccolato: una vera goduria!! Insomma vale davvero la pena fare un salto, alla fine è davvero semplice arrivarci: a pochi passi dal duomo e la basilica di San Lorenzo. Torneremo al più presto!"
"ui_bubble_rating bubble_50","Eccelente","Ero alla ricerca di qualcosa di tipico a Firenze e girando per il vecchio mercato mi imbatto in questo posto magnifico che già solo con la vetrina con le lombate esposte guadagna molti punti. Non potevo non prendere la famosa Chianina tipica di Firenze, servita e tagliata direttamente dal cameriere. Servizio eccelente, camerieri efficienti e gentilissimi. Tornerò sicuramente. "
"ui_bubble_rating bubble_50","Tutto super!!!","Una cena tra amiche, conoscendo la Trattoria Dall'Oste abbiamo deciso di recarci alla nuova sede, quella di Borgo San Lorenzo. Dopo l'impeccabile accoglienza, abbiamo ordinato l'hamburger. Che dire? Semplicemente ECCEZIONALE, senza parola. Per non parlare del dolce, buono come pochi. Raccomandatissimo e sempre un piacere ritornarvi."
