"Restaurant_Ratings","Restaurant_Quotes","Restaurant_Reviews"
"ui_bubble_rating bubble_50","Bunissimo","Ragazzi super preparati cena squisita ottima accoglienza piccolo ristorante ma pietanze straordinarie da provare, atmosfera bellissima con cucina a vista, lo consiglio vivamente, a presto"
"ui_bubble_rating bubble_50","eccellente","Ritornandoin questo bellissimo ristorande riconfermo l'eccellenza e la cordialita' del personale e del menu' dai sapori prelibati.Consiglio Filetto di manzo e Mousse alla Gianduia un'estasi assoluta,a presto arrivederci"
"ui_bubble_rating bubble_50","Qualità","Cibo eccezionale, ogni portata è una delizia per il palato... Il locale è molto accogliente, il personale è sorridente e preparato. Spero di tornare presto!"
"ui_bubble_rating bubble_50","Speciale","Ho deciso di andare in questo bistrot, fidandomi delle recensioni degli altri utenti... che dire, cibo eccellente, anche i vini, locale accogliente con personale preparato, pronto a servirti nel migliore dei modi... Senz'altro ritornerò!"
"ui_bubble_rating bubble_50","Davvero buono!","Ristorante piccolo ma accogliente, ottimo per ogni occasione... Cibo di qualità e personale sorridente e preparato! Tornerò presto."
"ui_bubble_rating bubble_50","Alto livello ","Sono stato in questo locale con dei amici e devo dire che ci siamo trovati benissimo.si mangia veramente bene sevizio molto professionale.bravi "
"ui_bubble_rating bubble_50","Eccellente","Una bellissima serata in famiglia, soddisfatta dei piatti e del servizio.Piatti originali e vini adatti ad ogni portata.Alla prossima!"
"ui_bubble_rating bubble_50","Eccellente","Tutto eccellente,ragazzi preparatssimi. Posto piccolo ma accogliente, cena squisita ci siamo trovati benissimo lo consiglio a tutti"
"ui_bubble_rating bubble_50","Una bella sorpresa","In occasione di un'uscita fra amiche abbiamo scelto questo ristorante suggerito da chi l'aveva già provato . L'ambiente è ben arredato e accogliente, il personale all'altezza del menù proposto. Tutto perfetto. Ho assaggiato il secreto con verdure, davvero ottimo. Ci tornerò.... senz'altro."
"ui_bubble_rating bubble_50","Entusiasmante!","Cena indimenticabile, accompagnati da una degustazione di piatti incredibili. Il locale di nuova apertura è arredato con gusto, la cucina riflette esperienze non del tutto italiano, accostamenti pensati e sapori unici. I ragazzi sono allegri e preparati, una bellissima atmosfera. Consiglio la lingua (ne avrei preso tre piatti), il piccione e il secreto. Anche la scelta dei vini è interessante e i prezzi in generale sono totalmente in linea con la proposta e la qualità. Torneremo di certo in questo piccolo, incantevole luogo a provare il nuovo menu! Giovani e promettenti, davvero ottimo lavoro!"
"ui_bubble_rating bubble_50","Ho voluto riprovare","Ci sono tornato a pranzo ed hanno comunque anche il menù... a prezzo per chi lavora nella zona. Abbiamo pranzato comunque alla carta e dopo avermi offerto un prosecchino per stimolare l'appetito abbiamo gustato, io e il mio ospite, i calamari alla piastra.... praticamente burro, sinonimo di freschezza e qualità,poi siamo andati sulla carne con diaframma veramente buono e particolare, per finire selezioni di dolci fatti da loro buoni da morire. Conto in linea con la qualità e la bontà. Bravi questi giovani e gradita conferma di questo piccolo gioiello nel BORGO "
"ui_bubble_rating bubble_50","Sorprendente","Questo bistrot ci ha davvero sorpresi, i piatti sono davvero buonissimi, il personale accogliente. Torneremo sicuramente!!!"
"ui_bubble_rating bubble_50","L’eccezione","Insieme al mio ragazzo avevamo intenzione di provare qualcosa di nuovo, abbiamo deciso di andare in questo bistrot, che dire... i piatti sono una delizia per il palato, la carta dei vini, anch’essa ottima, il personale sorridente e disponibile. Senz’altro ritornerò!"
"ui_bubble_rating bubble_50","Top! ","Tutto perfetto! Cibo, pietanze, servizio, atmosfera, nulla da dire, tutto ottimo! Senz'altro il Top! "
"ui_bubble_rating bubble_50","Eccellente ","Cena strepitosa menu buono ragazzi preparatissimi da riprovare assolutamente consigliatissimo cucina all'avanguardia, uno dei locali migliori di Firenze "
"ui_bubble_rating bubble_50","Straordinario","Posto accogliente ottima cucina personale fantastico cibo ottimo da ritornarci senz’altro ottima professionalità "
"ui_bubble_rating bubble_50","DA PROVARE!!!","Passeggiando per Firenze mi ha incuriosito la location e devo dire che ho avuto un ottimo fiuto. Senz’altro è veramente „senz’altro“ un ottimo locale con piatti veramente buoni, personale cordialissimo e location accogliente! Complimenti a tutto lo staff. Posso consigliarlo tranquillamente a tutti!"
"ui_bubble_rating bubble_50","Da provare ,assolutamente!","Un menu sensazionale ! Personale top,e che mette al proprio agio,super professionali!Ci ritorneró sicuramente !"
"ui_bubble_rating bubble_50","Consigliatissimo","Locale ottimo e accogliente, personale super gentile e cordiale e cibo eccellente.Perfetto anche per compleanni ed eventi"
"ui_bubble_rating bubble_50","Pranzo","Ottimo, consiglio vivamente. Prodotti di qualità ed eccellente accoglienza. E molto confortevole !!!"
"ui_bubble_rating bubble_50","Come essere a casa!!","Personale accogliente e gentile, ottimo cibo, posto bello consiglio vivamente ci ritornerò sicuramente ma con la mia famiglia"
"ui_bubble_rating bubble_50","STRAORDINARIO!!!! Ve lo stra-consiglio!!","Sono rimasta senza parole dalla bravura di questi ragazzi!! Cibi ottimi e presentazione da urlo!!!! Darei 100 come voto però purtroppo arriva fino a 10. Lo consiglio a tutti gli amanti della buona cucina, ingredienti freschi ed abbinamenti pazzeschi!! VI CONSIGLIO VIVAMENTE DI PROVARE QUESTE PRELIBATEZZE!"
"ui_bubble_rating bubble_50","Meraviglioso","Il cibo davvero ottimo, il locale piccolo ma accogliente, il personale preparato e socievole... Spero di tornare al più presto!"
"ui_bubble_rating bubble_50","Piccola luna di miele a Firenze","Una cenetta romantica con mia moglie grazie al personale complice per la serata riuscita benissimo Ottimi piatti dall'andipasto al dolce accompagnati da vini eccellenti.Ritorneremo da voi ragazzi quando saremo a Firenze."
"ui_bubble_rating bubble_50","Vacanza","Sono stata in vacanza per weekend a Firenze abbiamo mangiato in questo bellissimo ristorante I proprietari molto accoglienti ti senti coccolata se Hai un desiderio se possono realizzarlo te lo cucinano come desideri Ti accontentono su tutto consigliabile a tutti grandi e piccoli un ristorante perfetto."
"ui_bubble_rating bubble_50","Eccellente","Mi sono trovata a Firenze i primi di novembre ed ho mangiato in questo ristorante che ho trovato accogliente . Il cibo buono e i prezzi modici...personale gentile e disponibile.lo consiglio molto"
"ui_bubble_rating bubble_50","Senz'altro ci ritorneremo","Io e le mie amiche abbiamo cenato in questa splendida location, piccola e riservata. Menu davvero di ottima qualità,dall'antipasto al dolce é stato tutto di nostro gradimento. Anche il servizio impeccabile, professionale e attento. Ottimo lavoro continuate cosi, torneremo sicuramente"
"ui_bubble_rating bubble_50","Esplosione di sapori","Piacevolmente stupiti di scoprire questo meraviglioso angolo di sapori in pieno centro. Piatti unici e servizio eccellente. Massima accoglienza. Particolarmente indicato per chi vuole uscire dalle solite proposte gastronomiche senza cadere nell’esorico. Piatti mediterranei, con influenze siciliane, che stupiscono!Grazie per avermi fatto fare bella figura per festeggiare una bella ricorrenza con la mia compagna."
